# ProjectEditor language pack template (UTF-8)
# Copy to ProjectEditor_lang_<code>.csv and set Language=<code> in setting.ini
# Default UI is English (built-in); an "en" pack is optional.
id,text
1,Failed to save file.
2,Cannot find help\actba64_ref.html. Place the help folder next to the editor.
3,Could not open help: 
4,actba64 Help
10,File(&F)
11,New(&N)
12,Open(&O)
13,Save As(&A)
14,Save(&S)
15,Edit(&E)
16,Undo(&U)
17,Redo(&R)
18,Cut(&T)
19,Copy(&C)
20,Paste(&P)
21,Select All(&A)
22,Delete(&D)
23,Basic
24,64bit
25,32bit
26,Run(&R)
27,Compile(&C)
28,Help(&H)
29,Keyword
30,actba64 Help
31,Keyword help
32,Setting(&S)
33,Settings
34,Settings
35,Language
36,OK
37,Restart and reload settings?
38,Settings
39,English
40,Japanese
