# ProjectEditor language pack (UTF-8)
# Format: id,text
# IDs match Const UI_* in UiStrings.sbp. English is built-in; this file overrides when editor.lang = ja
id,text
1,ファイルの保存に失敗しました。
2,help\actba64_ref.html が見つかりません。editor.exe と同じ場所に help フォルダを置いてください。
3,ヘルプを開けませんでした: 
4,actba64 ヘルプ
10,ファイル(&F)
11,新規(&N)
12,開く(&O)
13,名前を付けて保存(&A)
14,上書き保存(&S)
15,編集(&E)
16,元に戻す(&U)
17,やり直し(&R)
18,切り取り(&T)
19,コピー(&C)
20,貼り付け(&P)
21,すべて選択(&A)
22,削除(&D)
23,Basic
24,64bit
25,32bit
26,実行(&R)
27,コンパイル(&C)
28,ヘルプ(&H)
29,キーワード
30,actba64 ヘルプ
31,キーワードのヘルプ
